vault_name,current_loan,loan_ceil,timestamp,utilization,fee,amount_coin_locked
PSM-USDC-A,3113330704.85,4112462213.56,7/25/2021 10:42:42 AM,0.757,0.10%,3113330705.0
ETH-A,1398361819.29,1485680673.07,7/25/2021 10:42:42 AM,0.9412,2.00%,2022905.0
ETH-B,30330854.43,43108988.49,7/25/2021 10:42:42 AM,0.7036,6.00%,26271.0
ETH-C,178469446.21,278175509.39,7/26/2021 2:44:12 AM,0.6416,0.50%,346807.0
BAT-A,1762765.29,2762701.54,7/26/2021 2:44:12 AM,0.6381,4.00%,10465155.0
WBTC-A,207853117.08,236609641.87,7/26/2021 12:04:15 PM,0.8785,2.00%,15189.0
ZRX-A,1409487.93,1909436.96,7/26/2021 2:44:12 AM,0.7382,4.00%,8395307.0
MANA-A,1497775.97,2497735.16,7/26/2021 2:44:12 AM,0.5997,3.00%,17497302.0
COMP-A,67585.28,2067584.66,7/26/2021 2:44:12 AM,0.0327,1.00%,850.0
LRC-A,875897.81,1372366.23,7/26/2021 2:44:12 AM,0.6382,4.00%,15284992.0
LINK-A,32687717.84,39476513.48,7/26/2021 2:44:12 AM,0.828,1.00%,6539745.0
BAL-A,171043.57,3171042.0,7/26/2021 2:44:12 AM,0.0539,1.00%,29043.0
YFI-A,19510900.75,25925271.52,7/26/2021 1:03:36 PM,0.7526,1.00%,4243.0
UNI-A,3724954.73,8611092.83,7/26/2021 11:58:38 AM,0.4326,1.00%,651567.0
RENBTC-A,2712277.53,3704129.47,7/26/2021 2:44:12 AM,0.7322,2.00%,292.0
AAVE-A,1322544.34,6317529.21,7/26/2021 2:44:12 AM,0.2093,1.00%,18321.0
UNIV2DAIETH-A,24532333.19,29531996.43,7/26/2021 2:44:12 AM,0.8307,1.50%,273661.0
UNIV2WBTCETH-A,9854025.19,12853845.28,7/26/2021 2:44:12 AM,0.7666,2.00%,0.01058052
UNIV2USDCETH-A,6382527.8,11382411.27,7/26/2021 2:44:12 AM,0.5607,2.00%,0.09742585
UNIV2DAIUSDC-A,49544663.52,50000000.0,7/22/2021 6:39:28 PM,0.9909,0.00%,22.63485779
UNIV2ETHUSDT-A,6526.6,2006526.48,7/26/2021 2:44:12 AM,0.0033,2.00%,0.00012
UNIV2LINKETH-A,49669.55,2049668.2,7/26/2021 2:44:12 AM,0.0242,3.00%,302.0
UNIV2UNIETH-A,7990143.37,10989997.49,7/26/2021 2:44:12 AM,0.727,2.00%,23756.0
UNIV2WBTCDAI-A,216816.33,3216816.33,6/24/2021 4:47:02 PM,0.0674,0.00%,0.00906101
UNIV2AAVEETH-A,0.0,2000000.0,1/1/1970 9:00:00 AM,0.0,3.00%,0.24975674
UNIV2DAIUSDT-A,0.0,2000000.0,1/1/1970 9:00:00 AM,0.0,2.00%,0.0
PSM-USDC-A,3116751378.63,4113330704.85,7/26/2021 6:39:50 PM,0.7576999999999999,0.10%,3116751379.0
ETH-A,1394200548.84,1500977379.16,7/26/2021 6:39:50 PM,0.9289,2.00%,2010387.0
ETH-B,31997937.96,40684271.3,7/25/2021 10:42:42 AM,0.7865000000000001,6.00%,26644.0
ETH-C,178558311.76,278467336.93,7/27/2021 3:04:50 AM,0.6412,0.50%,346719.0
BAT-A,1762891.01,2762827.82,7/26/2021 6:39:50 PM,0.6381,4.00%,10465155.0
WBTC-A,211508977.78,239758572.11,7/27/2021 5:03:51 AM,0.8822,2.00%,15181.0
ZRX-A,1409588.45,1909537.93,7/26/2021 6:39:50 PM,0.7382,4.00%,8395307.0
MANA-A,1497856.48,2497816.02,7/26/2021 6:39:50 PM,0.5997,3.00%,17497302.0
COMP-A,67586.5,2067585.89,7/26/2021 6:39:50 PM,0.0327,1.00%,850.0
LRC-A,875960.28,1375928.89,7/26/2021 6:39:50 PM,0.6365999999999999,4.00%,15284992.0
LINK-A,32716317.28,39726539.62,7/26/2021 6:39:50 PM,0.8234999999999999,1.00%,6541021.0
BAL-A,171046.66,3171045.11,7/26/2021 6:39:50 PM,0.0538999999999999,1.00%,29043.0
YFI-A,19492215.93,26492038.69,7/27/2021 12:05:41 AM,0.7358,1.00%,4243.0
UNI-A,3987423.99,8725004.85,7/27/2021 12:55:37 AM,0.457,1.00%,680638.0
RENBTC-A,2787361.21,3783310.79,7/26/2021 6:39:50 PM,0.7368000000000001,2.00%,293.0
AAVE-A,1327999.56,6329553.22,7/26/2021 6:39:50 PM,0.2098,1.00%,18337.0
UNIV2DAIETH-A,24521887.16,29532663.56,7/26/2021 6:39:50 PM,0.8303,1.50%,273521.0
UNIV2WBTCETH-A,9854380.02,12854201.69,7/26/2021 6:39:50 PM,0.7666,2.00%,0.01058052
UNIV2USDCETH-A,6362328.89,11362213.75,7/26/2021 2:44:12 AM,0.56,2.00%,0.09729585
UNIV2ETHUSDT-A,6526.84,2006526.72,7/26/2021 6:39:50 PM,0.0033,2.00%,0.00012
UNIV2LINKETH-A,49672.22,2049670.88,7/26/2021 6:39:50 PM,0.0242,3.00%,302.0
UNIV2UNIETH-A,7990431.08,10990286.49,7/26/2021 6:39:50 PM,0.727,2.00%,23756.0
ETH-A,1394184957.84,1494186957.84,7/26/2021 6:39:50 PM,0.9331,2.00%,2010374.0
ETH-B,31998895.64,41998895.64,7/27/2021 10:43:43 AM,0.7619,6.00%,27002.0
ETH-C,178558579.42,278467336.93,7/27/2021 3:04:50 AM,0.6412,0.50%,346719.0
BAT-A,1762954.67,2762954.67,7/27/2021 10:43:43 AM,0.6381,4.00%,10465155.0
WBTC-A,211510395.84,239758572.11,7/27/2021 5:03:51 AM,0.8822,2.00%,15181.0
ZRX-A,1409639.36,1909639.36,7/27/2021 10:43:43 AM,0.7382,4.00%,8395307.0
MANA-A,1497897.25,2497897.25,7/27/2021 10:43:43 AM,0.5997,3.00%,17497302.0
COMP-A,67587.12,2067587.12,7/27/2021 10:43:43 AM,0.0327,1.00%,850.0
LRC-A,875991.92,1375991.92,7/27/2021 10:43:43 AM,0.6365999999999999,4.00%,15284992.0
LINK-A,32716329.42,39716329.42,7/26/2021 6:39:50 PM,0.8238,1.00%,6541021.0
BAL-A,171048.23,3171048.23,7/27/2021 10:43:43 AM,0.0538999999999999,1.00%,29043.0
YFI-A,19492394.53,26492394.53,7/27/2021 10:43:43 AM,0.7358,1.00%,4243.0
UNI-A,3987460.53,8987460.53,7/27/2021 10:43:43 AM,0.4437,1.00%,680638.0
RENBTC-A,2787412.04,3787412.04,7/27/2021 10:43:43 AM,0.736,2.00%,293.0
AAVE-A,1328011.72,6328011.72,7/26/2021 6:39:50 PM,0.2098999999999999,1.00%,18337.0
UNIV2DAIETH-A,24522223.35,29522223.35,7/26/2021 6:39:50 PM,0.8306,1.50%,273521.0
UNIV2WBTCETH-A,9854559.71,12854559.71,7/27/2021 10:43:43 AM,0.7666,2.00%,0.01058052
UNIV2USDCETH-A,6362444.9,11362444.9,7/27/2021 10:43:43 AM,0.56,2.00%,0.09729585
UNIV2ETHUSDT-A,6526.96,2006526.96,7/27/2021 10:43:43 AM,0.0033,2.00%,0.00012
UNIV2LINKETH-A,49673.57,2049673.57,7/27/2021 10:43:43 AM,0.0242,3.00%,302.0
UNIV2UNIETH-A,7990576.79,10990576.79,7/27/2021 10:43:43 AM,0.727,2.00%,23756.0
ETH-A,1394182603.24,1494186957.84,7/26/2021 6:39:50 PM,0.9331,2.00%,2010372.0
LINK-A,32710355.29,39716329.42,7/26/2021 6:39:50 PM,0.8236,1.00%,6541021.0
AAVE-A,1323011.72,6328011.72,7/26/2021 6:39:50 PM,0.2091,1.00%,18337.0
ETH-A,1394203644.16,1494186957.84,7/26/2021 6:39:50 PM,0.9331,2.00%,2010386.0
LINK-A,32707364.03,39716329.42,7/26/2021 6:39:50 PM,0.8234999999999999,1.00%,6540845.0
UNI-A,3924475.87,8987460.53,7/27/2021 10:43:43 AM,0.4367,1.00%,680638.0
PSM-USDC-A,3129077261.87,4113330704.85,7/26/2021 6:39:50 PM,0.7606999999999999,0.10%,3129077262.0
ETH-A,1384027426.47,1494186957.84,7/26/2021 6:39:50 PM,0.9263,2.00%,2010353.0
ETH-B,31755636.93,41998895.64,7/27/2021 10:43:43 AM,0.7561,6.00%,26904.0
ETH-C,178551301.63,278467336.93,7/27/2021 3:04:50 AM,0.6412,0.50%,346735.0
WBTC-A,211534706.23,239758572.11,7/27/2021 5:03:51 AM,0.8823000000000001,2.00%,15181.0
YFI-A,18962816.57,26492394.53,7/27/2021 10:43:43 AM,0.7158,1.00%,4243.0
UNI-A,3857236.65,8924484.81,7/27/2021 10:43:43 AM,0.4322,1.00%,680638.0
UNIV2USDCETH-A,7808701.85,11362444.9,7/27/2021 10:43:43 AM,0.6872,2.00%,0.11922789
ETH-B,31816721.85,41998895.64,7/27/2021 10:43:43 AM,0.7576,6.00%,26904.0
ETH-C,176901202.22,278467336.93,7/27/2021 3:04:50 AM,0.6353,0.50%,344518.0
LINK-A,32761593.47,39716329.42,7/26/2021 6:39:50 PM,0.8249,1.00%,6542094.0
UNIV2LINKETH-A,49673.57,2049673.57,7/27/2021 10:43:43 AM,0.0242,3.00%,288.0
PSM-USDC-A,3129719758.52,4129467730.69,7/27/2021 6:40:32 PM,0.7579,0.10%,3129719759.0
ETH-A,1384451806.97,1484061656.84,7/26/2021 6:39:50 PM,0.9329,2.00%,2010301.0
ETH-B,31892742.24,41817123.02,7/27/2021 10:43:43 AM,0.7626999999999999,6.00%,26937.0
ETH-C,176914765.93,276888540.01,7/27/2021 3:04:50 AM,0.6389,0.50%,344458.0
BAT-A,1763017.3,2762954.67,7/27/2021 10:43:43 AM,0.6381,4.00%,10465155.0
WBTC-A,211520203.32,241544082.63,7/27/2021 6:40:32 PM,0.8756999999999999,2.00%,15181.0
